"good","purpose","fico","dti","loan_amnt","income"
"good","debt_consolidation",747,12.38,13500,38000
"bad","debt_consolidation",727,7.83,12000,NA
"good","debt_consolidation",667,15.8,16000,55000
"good","debt_consolidation",677,16.74,21600,60000
"good","home_improvement",692,12.86,6000,NA
"good","debt_consolidation",692,22.51,8450,25000
"good","debt_consolidation",717,17.68,20000,NA
"bad","debt_consolidation",697,22.08,10000,NA
"good","debt_consolidation",687,18.18,12000,80000
"bad","debt_consolidation",732,21.89,13475,25000
"good","major_purchase",687,17.43,7200,NA
"bad","debt_consolidation",677,12.24,5600,NA
"good","debt_consolidation",682,10.86,12000,57000
"good","debt_consolidation",762,1.73,8500,NA
"good","debt_consolidation",712,18.28,8000,34000
"good","debt_consolidation",692,15,8000,NA
"bad","debt_consolidation",737,17.44,16000,42656.4
"good","home_improvement",672,3.59,15000,44400
"good","debt_consolidation",732,11.24,10000,NA
"good","debt_consolidation",742,16.78,10000,NA
"good","major_purchase",677,12.6,8000,NA
"good","debt_consolidation",742,13.22,22000,50000
"good","major_purchase",697,24.53,6000,94800
"good","debt_consolidation",782,9.39,16000,40000
"bad","debt_consolidation",732,16.3,2500,12000
"good","debt_consolidation",727,22.93,13500,36000
"good","debt_consolidation",712,8.32,25000,225000
"good","small_business",692,24.97,10000,45900
"good","debt_consolidation",687,6.44,2500,NA
"good","debt_consolidation",682,22.57,7325,NA
"good","debt_consolidation",697,12.12,4000,135000
"bad","small_business",692,6.92,10000,NA
"bad","debt_consolidation",667,16.1,7750,NA
"bad","debt_consolidation",667,16.63,20000,70000
"good","debt_consolidation",687,11.65,9600,65000
"bad","debt_consolidation",737,6.62,21000,NA
"good","debt_consolidation",702,15.52,14000,30000
"good","debt_consolidation",707,20.57,13350,NA
"bad","debt_consolidation",667,19.63,15000,42000
"bad","debt_consolidation",667,16.03,15000,75000
"good","debt_consolidation",722,10.94,11000,129000
"good","debt_consolidation",762,3.17,35000,168000
"good","debt_consolidation",707,8.89,9000,74000
"good","debt_consolidation",717,15.23,22475,52000
"bad","debt_consolidation",697,20.64,16000,58500
"good","debt_consolidation",712,11.97,13500,71000
"good","debt_consolidation",702,11.6,24000,75000
"good","debt_consolidation",717,10.84,12000,NA
"good","major_purchase",687,11.35,8400,NA
"good","home_improvement",717,12.07,28000,140000
"good","debt_consolidation",752,11.15,14000,66000
"bad","other",692,8.4,12000,NA
"good","debt_consolidation",737,6.88,25000,1e+05
"good","debt_consolidation",697,17.81,9000,50000
"good","debt_consolidation",722,24.93,13250,NA
"good","debt_consolidation",717,22.38,20000,75000
"good","medical",682,21.84,3000,71000
"good","debt_consolidation",697,11.93,7350,NA
"good","debt_consolidation",672,21.1,11500,NA
"bad","debt_consolidation",702,12.29,13650,NA
"bad","debt_consolidation",682,15,10500,30000
"good","debt_consolidation",717,15.5,12000,NA
"good","debt_consolidation",717,14.51,6000,NA
"good","debt_consolidation",687,21.69,11500,44200
"good","debt_consolidation",692,12,7000,NA
"good","debt_consolidation",692,20.93,29500,83000
"good","other",682,17.74,2000,41000
"good","debt_consolidation",692,19.33,11625,36000
"bad","debt_consolidation",702,20.16,15075,35000
"good","debt_consolidation",662,24.88,5300,30000
"good","home_improvement",752,11.1,8200,40000
"good","debt_consolidation",702,13.98,12000,NA
"good","debt_consolidation",682,7.6,8650,45000
"good","debt_consolidation",697,7.75,21000,109000
"good","debt_consolidation",697,11.04,16000,50000
"good","debt_consolidation",702,11.81,12000,NA
"bad","other",697,23.54,9500,52500
"good","debt_consolidation",692,8.45,7400,25000
"good","debt_consolidation",692,16.92,14400,NA
"good","debt_consolidation",672,12.96,24250,120000
"bad","debt_consolidation",722,7.98,7200,68000
"bad","home_improvement",732,11.77,26000,53000
"bad","debt_consolidation",732,26.22,7000,69600
"good","major_purchase",722,18.17,4000,65000
"good","debt_consolidation",667,8.23,1500,144000
"good","debt_consolidation",697,11.62,19600,75000
"good","debt_consolidation",687,18.7,2500,29000
"bad","debt_consolidation",687,2.69,10000,NA
"good","debt_consolidation",742,26.85,10000,NA
"good","other",692,17.61,4225,NA
"good","vacation_wedding",717,6.46,3500,NA
"good","debt_consolidation",737,13.65,12000,NA
"good","debt_consolidation",747,9.06,16500,47000
"good","debt_consolidation",667,15.62,22000,55000
"good","debt_consolidation",677,14.87,12000,71000
"good","vacation_wedding",742,5.78,15600,50000
"good","debt_consolidation",677,12.12,10800,135000
"good","debt_consolidation",717,7.35,14000,NA
"good","debt_consolidation",702,24.98,18825,44000
"good","debt_consolidation",677,15.58,6000,NA
"good","debt_consolidation",707,14.83,12000,NA
"good","debt_consolidation",682,10.45,10000,NA
"good","vacation_wedding",722,6.09,8000,NA
"good","debt_consolidation",727,23.13,14125,33000
"good","debt_consolidation",692,19.24,14000,NA
"good","small_business",692,9.64,13200,26400
"good","vacation_wedding",682,20.59,4000,NA
"bad","debt_consolidation",687,6.86,4000,NA
"good","debt_consolidation",777,10.36,10500,65000
"good","major_purchase",707,6.65,5500,59000
"good","debt_consolidation",697,22.51,7350,33000
"bad","debt_consolidation",722,18.31,10000,39000
"good","debt_consolidation",737,10.74,12000,NA
"good","home_improvement",712,23.78,5000,NA
"good","other",747,16.22,8000,31000
"good","other",702,23.43,4500,50700
"good","debt_consolidation",722,12.51,18000,75000
"good","debt_consolidation",722,12.76,12300,30000
"good","debt_consolidation",672,15.72,12000,NA
"good","debt_consolidation",697,5.88,10000,NA
"good","other",742,8.87,6000,NA
"good","debt_consolidation",697,22.2,12000,NA
"bad","other",717,9.13,12000,NA
"good","debt_consolidation",692,15.57,7000,75000
"good","debt_consolidation",722,12,35000,85000
"good","other",747,10,1400,NA
"bad","small_business",732,16.22,16000,35000
"good","debt_consolidation",702,2.16,3200,NA
"good","medical",737,13.35,8000,NA
"bad","debt_consolidation",727,23.75,11875,25920
"good","home_improvement",792,3.82,5000,NA
"good","small_business",752,23.8,1800,NA
"good","debt_consolidation",737,17.73,35000,85000
"good","debt_consolidation",742,7,18000,78000
"bad","debt_consolidation",742,19.74,14000,NA
"good","debt_consolidation",687,20.06,5000,NA
"good","debt_consolidation",677,14.04,8000,70000
"good","debt_consolidation",752,12.99,10000,NA
"good","debt_consolidation",742,4.63,10000,50000
"good","debt_consolidation",687,18.51,12000,35000
"good","debt_consolidation",742,27.99,23200,65000
"good","debt_consolidation",712,11.41,18000,84000
"good","debt_consolidation",667,9.3,4800,NA
"good","debt_consolidation",697,16.42,7300,NA
"good","debt_consolidation",732,11.67,10400,40000
"good","home_improvement",712,15.53,6600,NA
"good","debt_consolidation",717,9.45,12000,NA
"good","debt_consolidation",672,23.7,13250,52000
"good","debt_consolidation",707,15.97,12000,92500
"good","debt_consolidation",742,10.35,25000,61000
"good","other",707,14.43,6000,NA
"good","debt_consolidation",747,7.08,12000,NA
"good","debt_consolidation",707,16.35,14400,NA
"good","debt_consolidation",682,11.58,10000,NA
"good","debt_consolidation",702,2.48,8000,NA
"bad","debt_consolidation",667,13.22,8000,NA
"bad","small_business",757,0.94,30000,70000
"bad","home_improvement",702,18.42,18000,NA
"good","debt_consolidation",707,22.35,13250,NA
"good","debt_consolidation",687,16.21,14000,NA
"bad","debt_consolidation",667,20.91,20000,59000
"good","debt_consolidation",682,24.39,10000,40000
"good","debt_consolidation",687,20.16,35000,85000
"good","debt_consolidation",757,7.05,4000,NA
"good","debt_consolidation",712,8.38,13000,NA
"good","debt_consolidation",722,12.35,28000,1e+05
"good","debt_consolidation",672,11.52,10000,NA
"good","debt_consolidation",747,9.25,20000,45000
"good","debt_consolidation",732,10,18000,110000
"bad","debt_consolidation",682,22.56,9000,60000
"bad","debt_consolidation",687,12.6,25000,61500
"good","other",697,8.69,10000,NA
"good","debt_consolidation",767,8.92,4200,NA
"bad","debt_consolidation",717,10.79,20000,78216
"good","debt_consolidation",707,7.82,18000,62000
"good","debt_consolidation",682,8.83,24000,50964
"good","debt_consolidation",667,18.79,4475,NA
"good","debt_consolidation",727,12.15,20000,56000
"good","debt_consolidation",682,22.49,12000,50700
"good","debt_consolidation",692,21.96,18000,60000
"bad","debt_consolidation",697,23.84,5000,30000
"good","other",752,5.5,3000,NA
"good","debt_consolidation",697,19.63,25000,75000
"good","debt_consolidation",677,11.32,18000,90000
"bad","debt_consolidation",707,13,12000,NA
"good","other",677,4.34,20000,50000
"good","debt_consolidation",692,13.87,10000,84000
"good","debt_consolidation",692,17.85,15000,155000
"good","debt_consolidation",727,8.71,12000,62000
"good","debt_consolidation",752,5.23,20000,175000
"good","debt_consolidation",697,7.2,6300,NA
"good","debt_consolidation",702,22.82,20000,50000
"good","debt_consolidation",727,7.94,35000,208000
"good","home_improvement",697,15.6,8250,35004
"good","home_improvement",727,10.21,20000,85000
"bad","debt_consolidation",697,21.83,10000,NA
"bad","major_purchase",767,3.94,24000,116400
"good","debt_consolidation",697,20.16,14400,NA
"good","debt_consolidation",672,21.39,6000,NA
"good","debt_consolidation",677,22.47,22000,73000
"bad","debt_consolidation",697,16.36,12000,57200
"good","debt_consolidation",667,17.2,16000,114000
"good","debt_consolidation",712,11.16,10000,NA
"good","home_improvement",672,16.89,16000,54000
"bad","debt_consolidation",697,12.03,10000,35000
"good","debt_consolidation",677,10.35,3500,NA
"good","debt_consolidation",712,16.49,9600,NA
"good","debt_consolidation",727,24.03,9875,40000
"good","debt_consolidation",692,22.86,21500,59000
"good","debt_consolidation",732,13,4800,48000
"good","major_purchase",772,0.78,7800,NA
"good","debt_consolidation",707,6.21,20000,70000
"bad","debt_consolidation",737,29.04,9750,NA
"good","debt_consolidation",712,23.41,18000,91000
"good","other",762,16.48,5000,NA
"good","debt_consolidation",677,17.01,9000,45000
"good","debt_consolidation",712,11.98,7200,NA
"good","other",672,10.73,3000,53004
"bad","debt_consolidation",687,20.04,25000,60000
"good","debt_consolidation",692,18.5,25000,82000
"good","debt_consolidation",667,13.09,10000,53000
"bad","debt_consolidation",697,23.11,8875,35360
"good","debt_consolidation",712,23.36,15550,54000
"good","debt_consolidation",717,16.84,17000,NA
"good","debt_consolidation",707,4.41,7500,NA
"good","debt_consolidation",722,24.29,8875,NA
"good","debt_consolidation",677,4.34,4500,NA
"good","debt_consolidation",692,21.67,5800,NA
"good","debt_consolidation",707,22.26,10000,NA
"good","debt_consolidation",717,19.06,10000,NA
"good","debt_consolidation",712,12.97,14000,NA
"good","debt_consolidation",687,17.15,25000,85000
"bad","debt_consolidation",717,6.75,12000,32000
"good","debt_consolidation",767,10.58,24000,75000
"good","debt_consolidation",682,3.3,14000,NA
"good","debt_consolidation",717,17.08,12000,40246
"bad","debt_consolidation",737,24.76,15000,30000
"bad","debt_consolidation",697,14.8,8050,36000
"good","debt_consolidation",687,16.36,5600,NA
"good","debt_consolidation",707,12.35,7500,NA
"good","debt_consolidation",697,12.19,7000,90000
"good","debt_consolidation",722,10.89,5400,NA
"good","debt_consolidation",722,13.67,16000,90000
"good","home_improvement",742,16.53,35000,105000
"bad","debt_consolidation",797,1.68,6000,30084
"good","major_purchase",742,17.73,4125,NA
"good","debt_consolidation",667,21.01,9800,NA
"good","debt_consolidation",682,17.43,15700,63000
"good","debt_consolidation",732,1.82,5000,276000
"good","debt_consolidation",707,14.09,9900,26400
"good","home_improvement",687,7.5,4000,24000
"good","debt_consolidation",722,5.7,15000,68400
"good","debt_consolidation",677,20.85,6250,NA
"good","debt_consolidation",672,17.97,6400,NA
"good","major_purchase",717,7.67,8850,89122
"good","debt_consolidation",672,17.07,12000,NA
"good","debt_consolidation",737,6.48,15000,30000
"good","debt_consolidation",672,10.12,6500,NA
"good","debt_consolidation",672,16.34,8000,NA
"good","home_improvement",677,17.57,30000,92000
"good","debt_consolidation",692,14.56,15000,100500
"good","debt_consolidation",692,16.53,10200,NA
"good","debt_consolidation",677,19.1,9000,NA
"good","debt_consolidation",672,21.85,6500,NA
"good","debt_consolidation",702,8.94,23000,95000
"good","debt_consolidation",707,5.09,2000,NA
"good","debt_consolidation",692,14.48,8000,30000
"good","debt_consolidation",732,28.4,8875,30000
"bad","other",677,4.59,1500,17000
"good","debt_consolidation",702,20.26,8000,NA
"bad","debt_consolidation",732,16.51,20000,75000
"good","debt_consolidation",692,6.26,6500,NA
"good","debt_consolidation",687,10.22,9600,27000
"good","debt_consolidation",727,26.13,25975,130000
"good","home_improvement",732,10.46,10000,NA
"good","debt_consolidation",722,5.61,15000,80000
"good","debt_consolidation",762,22.05,9000,NA
"good","debt_consolidation",732,27.92,10000,72500
"bad","major_purchase",687,6,1000,NA
"good","debt_consolidation",722,15.2,14000,30000
"bad","debt_consolidation",687,8.5,8500,50000
"good","debt_consolidation",672,2.82,15000,75000
"good","other",662,14.66,4500,NA
"good","major_purchase",727,27.91,3000,NA
"good","home_improvement",732,7.98,10000,120000
"good","debt_consolidation",717,19.93,21250,42500
"bad","debt_consolidation",747,25.71,33425,75000
"good","debt_consolidation",702,11.72,35000,195000
"good","debt_consolidation",682,20.95,7200,54990
"bad","debt_consolidation",737,18.18,18000,40000
"good","debt_consolidation",757,8.13,23000,137000
"bad","debt_consolidation",702,9.46,20000,60000
"good","debt_consolidation",672,15.54,6000,NA
"good","debt_consolidation",717,7.9,7000,46000
"good","debt_consolidation",707,8.52,21000,135000
"good","debt_consolidation",757,17.87,8250,31500
"good","debt_consolidation",707,8.82,13000,65000
"good","debt_consolidation",792,6.35,18000,NA
"good","other",792,2.54,7200,NA
"good","debt_consolidation",722,13.1,16500,NA
"good","debt_consolidation",732,24.34,8125,NA
"good","debt_consolidation",767,13.76,18800,82000
"good","debt_consolidation",712,21.59,26800,82000
"good","debt_consolidation",732,19.66,19200,42000
"good","debt_consolidation",697,18.7,12875,27600
"good","debt_consolidation",692,19.64,4000,NA
"good","debt_consolidation",667,9.22,4000,NA
"good","debt_consolidation",717,18.8,12000,NA
"good","medical",692,14.52,2625,NA
"good","debt_consolidation",722,13.7,18000,40900
"good","debt_consolidation",697,11.45,7000,NA
"good","debt_consolidation",692,16.33,11300,NA
"good","debt_consolidation",722,10.05,4000,130000
"good","debt_consolidation",792,4.72,8000,NA
"bad","debt_consolidation",662,7.82,14400,51871
"good","debt_consolidation",697,13.92,4375,15000
"good","debt_consolidation",737,6.58,4100,NA
"good","other",712,14.43,6000,47000
"good","debt_consolidation",697,10.13,4200,43000
"good","home_improvement",762,3.89,4000,120000
"bad","other",707,13.37,3000,NA
"good","major_purchase",672,8.8,5400,NA
"bad","small_business",672,21.99,15000,110000
"good","debt_consolidation",687,23.47,20000,80000
"good","debt_consolidation",712,19.91,10400,44000
"good","debt_consolidation",687,22.63,4500,51600
"good","debt_consolidation",692,13.06,11500,38500
"good","home_improvement",762,24.85,10000,75000
"good","debt_consolidation",722,20.8,18225,37320
"good","debt_consolidation",722,5.48,3600,NA
"good","major_purchase",762,0.72,18500,1e+05
"good","debt_consolidation",682,21.5,16800,70000
"bad","debt_consolidation",667,17.15,10000,NA
"good","debt_consolidation",662,8.49,15000,NA
"good","major_purchase",707,10.22,8000,85000
"good","debt_consolidation",717,13.66,25000,83004
"bad","debt_consolidation",732,24.66,16000,51000
"good","debt_consolidation",702,11.56,8000,55000
"good","debt_consolidation",727,19.74,7200,47000
"good","debt_consolidation",737,13.3,12000,86000
"bad","debt_consolidation",682,5.47,2200,NA
"good","other",727,17.78,20000,49000
"good","debt_consolidation",757,15.87,28000,85000
"good","debt_consolidation",747,23.86,6000,50000
"good","debt_consolidation",682,21.13,25000,105000
"bad","debt_consolidation",752,25.12,8000,NA
"good","debt_consolidation",727,0.98,14400,NA
"good","debt_consolidation",697,18.06,20000,60000
"good","debt_consolidation",727,13.41,25000,85000
"good","major_purchase",737,2.21,14050,120000
"good","major_purchase",677,3.16,6000,NA
"good","debt_consolidation",727,27.8,16100,36000
"bad","debt_consolidation",687,16.39,35000,85000
"good","debt_consolidation",737,7.27,10525,49668
"good","debt_consolidation",687,5.2,7200,30000
"good","debt_consolidation",812,26.34,18500,40000
"good","debt_consolidation",692,16.2,12000,40000
"good","debt_consolidation",697,6.58,12000,NA
"good","other",692,16.03,3000,NA
"good","debt_consolidation",667,18.51,9500,54011
"good","debt_consolidation",717,17.57,19775,49110.32
"bad","debt_consolidation",717,16.13,12000,75000
"good","debt_consolidation",737,9.46,28000,95000
"good","debt_consolidation",727,22.23,30000,80000
"good","debt_consolidation",732,13.33,16000,55000
"good","debt_consolidation",687,5.24,14500,90000
"good","debt_consolidation",727,18.17,11700,68500
"good","debt_consolidation",687,1.99,4150,NA
"good","debt_consolidation",737,26.48,15000,72000
"good","debt_consolidation",692,12.57,24000,70000
"bad","other",717,14.27,21250,37000
"good","debt_consolidation",682,13.46,10000,75000
"good","debt_consolidation",692,10.58,25000,75000
"good","debt_consolidation",667,21.91,4000,39000
"good","debt_consolidation",707,8.86,15000,NA
"good","debt_consolidation",717,9.09,20000,68000
"good","home_improvement",697,12.36,15000,110000
"good","other",682,12.78,3600,40000
"good","debt_consolidation",677,20.13,6000,31000
"bad","debt_consolidation",682,10.72,15000,60000
"good","debt_consolidation",672,15.24,12000,43000
"good","debt_consolidation",737,28.06,12375,NA
"bad","home_improvement",682,17.6,4000,NA
"good","debt_consolidation",707,20.11,13000,NA
"good","home_improvement",757,8.16,5000,39396
"good","debt_consolidation",662,19.63,5000,98000
"good","debt_consolidation",747,16.55,26000,62500
"bad","debt_consolidation",687,17.97,15000,95000
"bad","home_improvement",702,15.2,4000,45000
"good","debt_consolidation",732,7.56,8000,NA
"bad","home_improvement",727,27,1700,NA
"good","debt_consolidation",727,15.1,16000,NA
"good","debt_consolidation",777,11.19,20000,114996
"bad","debt_consolidation",677,13.81,12000,54400
"good","debt_consolidation",677,24.64,7000,72800
"bad","debt_consolidation",677,14.23,8000,42500
"good","debt_consolidation",662,11.65,13000,61000
"bad","debt_consolidation",682,12.9,13000,28000
"good","debt_consolidation",662,16.72,20000,120000
"good","debt_consolidation",682,16.4,18000,96000
"good","debt_consolidation",672,17.03,10000,83200
"good","debt_consolidation",717,23.07,22250,45000
"bad","debt_consolidation",702,21.29,24000,68809
"bad","major_purchase",682,22.88,11200,NA
"good","other",702,18.16,7000,NA
"good","home_improvement",767,11.52,8000,57600
"good","debt_consolidation",722,10.91,22500,48500
"good","debt_consolidation",662,11.1,12000,NA
"good","debt_consolidation",702,12.1,22000,58000
"good","debt_consolidation",702,19.95,6200,NA
"good","debt_consolidation",727,21.72,15900,NA
"good","other",702,16.17,5000,70000
"good","other",802,2.78,16000,NA
"good","major_purchase",722,4.01,5000,NA
"good","vacation_wedding",672,4.37,3150,53000
"bad","debt_consolidation",692,8.49,12000,28000
"bad","home_improvement",747,5.29,28000,118000
"good","vacation_wedding",672,22.59,5000,NA
"good","other",727,4.29,3000,NA
"bad","other",737,4.89,3000,NA
"good","debt_consolidation",737,11.86,8400,25000
"good","debt_consolidation",687,24,7000,36000
"good","debt_consolidation",672,21.68,18550,45000
"good","other",712,11.43,2000,231252
"good","debt_consolidation",712,14.44,12000,NA
"bad","debt_consolidation",667,22.54,8575,32000
"bad","debt_consolidation",742,23.41,28000,84996
"good","debt_consolidation",737,12.42,10000,NA
"good","debt_consolidation",672,21.68,25000,92000
"good","debt_consolidation",702,20.21,8000,NA
"bad","debt_consolidation",697,18.39,16000,49000
"good","debt_consolidation",722,13.9,25000,76896
"good","other",697,13.5,2000,NA
"good","debt_consolidation",712,14.52,16800,60000
"good","debt_consolidation",712,10.52,8000,NA
"good","debt_consolidation",707,19.71,12000,NA
"bad","debt_consolidation",727,4.74,11000,NA
"bad","medical",662,22.81,5000,85000
"good","debt_consolidation",682,21.8,18000,140000
"bad","debt_consolidation",697,15.9,10000,36000
"good","debt_consolidation",707,13.92,5000,70000
"good","debt_consolidation",672,16.61,10000,51360
"good","vacation_wedding",757,4.4,25000,163000
"good","medical",682,13.7,2400,59393
"bad","other",662,15.16,3000,NA
"bad","other",662,18.58,7700,29772.96
"good","other",707,4.71,2400,12996
"bad","debt_consolidation",677,20.89,18500,68000
"good","debt_consolidation",692,17.11,5000,NA
"good","debt_consolidation",662,7.73,14000,88000
"bad","debt_consolidation",692,9.09,24500,85000
"good","major_purchase",702,15.7,2400,NA
"good","other",677,15.86,1800,NA
"bad","debt_consolidation",672,13.33,22200,160000
"good","debt_consolidation",677,19.66,21400,80000
"bad","debt_consolidation",747,16.93,13000,NA
"good","major_purchase",697,15.33,8000,NA
"bad","medical",682,19,3600,NA
"bad","other",672,20.88,12375,NA
"good","debt_consolidation",712,11.84,9400,45500
"good","home_improvement",697,15.54,9600,156000
"good","debt_consolidation",712,18.63,17000,40000
"good","debt_consolidation",687,16.19,25000,96000
"good","debt_consolidation",702,14.47,16950,50000
"good","debt_consolidation",722,26.82,30000,80000
"good","debt_consolidation",667,2.67,10800,110000
"good","debt_consolidation",727,19.17,6000,NA
"good","debt_consolidation",742,12.09,35000,106000
"good","debt_consolidation",707,14,10000,NA
"good","debt_consolidation",672,20.85,15000,51000
"good","other",687,20.54,5000,NA
"good","debt_consolidation",682,11.42,3000,35000
"bad","debt_consolidation",677,23.85,7100,NA
"good","debt_consolidation",667,13.46,12000,NA
"good","debt_consolidation",662,7.02,22400,NA
"good","debt_consolidation",712,13.25,5825,NA
"bad","debt_consolidation",692,15.63,22250,41000
"good","debt_consolidation",702,21.22,18000,50000
"good","debt_consolidation",687,7.2,6000,30000
"bad","debt_consolidation",707,23.96,7650,57000
