StAlphCd,CDNumAtL,YearElec,Ob,Use,CngrsNum,StICPSR,StPOAbrv,DifDPct,DemPct,DemWin,DWinPrv,DWinNxt,DifPVDec,OpenSeat,IncStatus,PrvTrmsD,PrvTrmsO,VoteTotW,VoteTotL,VoteCast,SoSDem,PrvElcOb,NxtElcOb,DemInc,DemOpen,NonDInc,NonDOpen,DExpAdv,RExpAdv,ForgnPct,GovWkPct,BlackPct,UrbanPct,VtTotPct,DPctNxt,DifDPNxt,DPctPrv,DifDPPrv,ElcSwing,GovDem,IncDWNOM1,DSpndPct,DDonaPct,CQRating3
1,1,1968,18,1,91,41,AL,-18.67650151,38.43524456,0,0,0,-0.0434,0,Republican incumbent,,2,60318,,105614,1,17,19,0,0,1,0,0,1,0.596053978,6.420973378,37.0436688,68.16830441,40.53,26.2214452,-34.38001573,34.24468338,-31.51063621,-2.251513587,1,0.254999995,,,0
1,1,1970,19,1,92,41,AL,-34.38001573,26.2214452,0,0,0,-0.0434,0,Republican incumbent,,3,63457,,104712,1,18,20,0,0,1,0,0,1,0.596053978,6.420973378,37.0436688,68.16830441,45.33,17.81654656,-58.70016813,38.43524456,-18.67650151,8.370145083,1,0.231999993,,,
1,1,1972,20,0,93,41,AL,-58.70016813,17.81654656,0,,,-0.230533333,0,Republican incumbent,,4,104606,,136710,1,,,,,,,0,1,0.505341161,5.153463061,32.6877439,62.21430939,78.18,,,,,-5.918761457,1,,3.707061901,,
1,1,1974,21,1,94,41,AL,-22.52660096,36.95451915,0,0,0,-0.230533333,0,Republican incumbent,,5,60710,,102066,1,20,22,0,0,1,0,0,1,0.505341161,5.153463061,32.6877439,62.21430939,11,37.48083115,-25.03833771,17.81654656,-58.70016813,13.5724714,1,0.185000002,45.23867809,,-1
1,1,1976,22,1,95,41,AL,-25.03833771,37.48083115,0,0,0,-0.230533333,0,Republican incumbent,,6,98257,,157170,1,21,23,0,0,1,0,0,1,0.505341161,5.153463061,32.6877439,62.21430939,23.88,36.06422842,-27.87154019,36.95451915,-22.52660096,-5.621735424,1,0.162,29.5006241,,-1
1,1,1978,23,1,96,41,AL,-27.87154019,36.06422842,0,0,0,-0.230533333,0,Republican incumbent,,7,71711,,112161,1,22,24,0,0,1,0,0,1,0.505341161,5.153463061,32.6877439,62.21430939,34.52,0,-94.77047324,37.48083115,-25.03833771,-4.985865265,1,0.138999999,34.00600248,,-1
1,1,1980,24,1,97,41,AL,-94.77047324,0,0,0,0,-0.230533333,0,Republican incumbent,,8,111089,,117219,1,23,25,0,0,1,0,0,1,0.505341161,5.153463061,32.6877439,62.21430939,41.57,37.71141768,-23.31907749,36.06422842,-27.87154019,-6.661364101,1,0.115000002,,,-1
1,1,1982,25,0,98,41,AL,-23.31907749,37.71141768,0,,,-0.2742,0,Republican incumbent,,9,87901,,144028,1,,,,,,,0,1,1.220950337,6.339011004,31.00522251,64.76055364,40.53,,,,,8.000854683,1,,31.63818808,7.40300552,-1
1,1,1984,26,1,99,41,AL,-2.002647519,48.99867475,0,0,0,-0.2742,1,Republican open seat,,0,102479,,200934,1,25,27,0,0,0,1,0,1,1.220950337,6.339011004,31.00522251,64.76055364,45.33,0,-100,37.71141768,-23.31907749,-5.306613884,1,0.068999998,51.01348243,40.3383753,0
1,1,1986,27,1,100,41,AL,-100,0,0,0,0,-0.2742,0,Republican incumbent,,1,96469,,96469,1,26,28,0,0,1,0,0,1,1.220950337,6.339011004,31.00522251,64.76055364,78.18,39.96891677,-19.2990154,48.99867475,-2.002647519,4.555182653,1,0.356000006,,,-1
1,1,1988,28,1,101,41,AL,-19.2990154,39.96891677,0,0,0,-0.2742,0,Republican incumbent,,2,115173,,194363,1,27,29,0,0,1,0,0,1,1.220950337,6.339011004,31.00522251,64.76055364,11,0,-100,0,-100,-1.545145837,0,0.363000005,16.10874618,16.08522284,-1
1,1,1990,29,1,102,41,AL,-100,0,0,0,0,-0.2742,0,Republican incumbent,,3,82185,,82530,0,28,30,0,0,1,0,0,1,1.220950337,6.339011004,31.00522251,64.76055364,23.88,36.76714897,-23.40822816,39.96891677,-19.2990154,-2.671862634,0,0.370999992,0,,-1
1,1,1992,30,0,103,41,AL,-23.40822816,36.76714897,0,,,-0.201333333,0,Republican incumbent,,4,128874,,,1,,,,,,,0,1,1.260322352,5.732216125,28.48813254,52.14358673,34.52,,,,,-2.283510717,0,,3.348889454,0.36643674,-1
1,1,1994,31,1,104,41,AL,-34.62494612,32.68752694,0,0,0,-0.201333333,0,Republican incumbent,,5,103431,,,1,30,32,0,0,1,0,0,1,1.260322352,5.732216125,28.48813254,52.14358673,41.57,33.88995528,-30.60486913,36.76714897,-23.40822816,-12.75936914,1,0.38499999,11.81027594,12.80750384,-1
1,1,1996,32,1,105,41,AL,-30.60486913,33.88995528,0,0,0,-0.201333333,0,Republican incumbent,,6,132206,,,1,31,33,0,0,1,0,0,1,1.260322352,5.732216125,28.48813254,52.14358673,40.53,0,-100,32.68752694,-34.62494612,7.017245117,0,0.393000007,9.011345072,20.15145381,-1
1,1,1998,33,1,106,41,AL,-100,0,0,0,0,-0.201333333,0,Republican incumbent,,7,112872,,,0,32,34,0,0,1,0,0,1,,,,,45.33,,,33.88995528,-30.60486913,-2.242183656,0,0.400000006,,,-1
1,1,2000,34,0,107,41,AL,,,0,0,0,-0.201333333,0,Republican incumbent,,8,,,,0,33,35,0,0,1,0,0,1,,,,,78.18,,-23.12,0,-100,4.633695519,1,0.407999992,,,-1
1,1,2002,35,0,108,41,AL,-23.12,,0,,,-0.2637,,NA,,0,,,,0,,,,,,,1,,,,,,11,,,,,-6.694096897,1,,21.57411324,5.639238385,-1
1,1,2004,36,1,109,41,AL,-26.32,,0,0,0,-0.2637,,NA,,1,,,,1,35,37,0,0,,,,,,,,,23.88,,-36.32,,-23.12,2.314101968,0,0.529999971,30.32843729,13.69703684,-1
1,1,2006,37,1,110,41,AL,-36.32,,0,0,0,-0.2637,,NA,,2,,,,1,36,38,0,0,,,,,,,,,34.52,,-100,,-26.32,13.68268531,0,0.529999971,1.486762513,0.981847243,-1
1,1,2008,38,0,111,41,AL,-100,,0,0,,-0.2637,,NA,,3,,,,0,37,,0,0,,,,,,,,,41.57,,,,-36.32,1.765615325,0,0.529999971,,,-1
1,2,1932,39,0,73,41,AL,,,,,,,,NA,,,,,,,,,,,,,,,,,,,40.53,,,,,,,,,,
1,2,1934,40,0,74,41,AL,,,,,,,,NA,,,,,,,39,41,,,,,,,,,,,45.33,,,,,,,-0.25999999,,,
1,2,1936,41,0,75,41,AL,,,,,,,,NA,,,,,,,40,42,,,,,,,,,,,78.18,,,,,,,-0.223000005,,,
1,2,1938,42,0,76,41,AL,,,,,,,,NA,,,,,,,41,43,,,,,,,,,,,11,,,,,,,-0.186000004,,,
1,2,1940,43,0,77,41,AL,,,,,1,,,NA,,,,,,,42,44,,,,,,,,,,,23.88,,,,,,,-0.085000001,,,
1,2,1942,44,0,78,41,AL,,,1,,1,0.825080237,,NA,2,,6672,,6672,1,43,45,,,,,,,0.002243706,1.764674536,42.45624073,30.79486079,34.52,,,,,,1,-0.075000003,,,
1,2,1944,45,0,79,41,AL,,,1,1,1,0.825080237,,NA,3,,24180,,24180,1,44,46,,,,,,,0.002243706,1.764674536,42.45624073,30.79486079,41.57,100,100,,,-2.479144594,1,-0.064999998,,,
1,2,1946,46,1,80,41,AL,100,100,1,1,1,0.825080237,0,Democratic incumbent,4,,17711,,17711,1,45,47,,0,,0,1,0,0.002243706,1.764674536,42.45624073,30.79486079,40.53,100,100,,,1.188312995,1,-0.055,,,
1,2,1948,47,1,81,41,AL,100,100,1,1,1,0.825080237,0,Democratic incumbent,5,,21271,,21271,1,46,48,1,0,0,0,1,0,0.002243706,1.764674536,42.45624073,30.79486079,45.33,100,100,100,100,10.24988897,1,-0.046,,,
1,2,1950,48,1,82,41,AL,100,100,1,1,1,0.825080237,0,Democratic incumbent,6,,17441,,17441,1,47,49,1,0,0,0,1,0,0.002243706,1.764674536,42.45624073,30.79486079,78.18,100,100,100,100,-0.020519355,1,-0.035999998,,,
1,2,1952,49,1,83,41,AL,100,100,1,1,1,0.210466667,0,Democratic incumbent,7,,38421,,38421,1,48,50,1,0,0,0,1,0,0.573181169,4.038996838,38.71686254,44.79884662,11,100,100,100,100,-6.808760953,1,-0.026000001,,,
1,2,1954,50,1,84,41,AL,100,100,1,1,1,0.210466667,0,Democratic incumbent,8,,30661,,30661,1,49,51,1,0,0,0,1,0,0.573181169,4.038996838,38.71686254,44.79884662,23.88,100,100,100,100,8.778685501,1,-0.016000001,,,
1,2,1956,51,1,85,41,AL,100,100,1,1,1,0.210466667,0,Democratic incumbent,9,,36613,,36613,1,50,52,1,0,0,0,1,0,0.573181169,4.038996838,38.71686254,44.79884662,34.52,100,100,100,100,-5.650539331,1,-0.006,,,
1,2,1958,52,1,86,41,AL,100,100,1,1,1,0.210466667,0,Democratic incumbent,10,,27972,,27972,1,51,53,1,0,0,0,1,0,0.573181169,4.038996838,38.71686254,44.79884662,41.57,100,100,100,100,13.50993815,1,0.004,,,
1,2,1960,53,0,87,41,AL,100,100,1,1,,0.210466667,0,Democratic incumbent,11,,44487,,44488,1,52,,1,0,0,0,1,0,0.573181169,4.038996838,38.71686254,44.79884662,40.53,,,100,100,-6.19429047,1,0.014,,,
1,2,1964,54,0,89,41,AL,-25.07779896,36.58681214,0,,,-0.1426,0,Democratic incumbent,,0,49936,,80980,1,,,,,,,1,0,0.6183725,5.177186509,35.82650353,55.6724283,45.33,,,,,6.331477858,1,,,,1
1,2,1966,55,1,90,41,AL,-9.2974931,45.35125196,0,0,0,-0.1426,0,Republican incumbent,,1,49203,,90035,1,54,56,0,0,1,0,0,1,0.6183725,5.177186509,35.82650353,55.6724283,78.18,34.20735896,-21.15346491,36.58681214,-25.07779896,-10.61381827,1,0.386999995,,,-1
1,2,1968,56,1,91,41,AL,-21.15346491,34.20735896,0,0,0,-0.1426,0,Republican incumbent,,2,60743,,109722,1,55,57,0,0,1,0,0,1,0.6183725,5.177186509,35.82650353,55.6724283,11,25.56639612,-35.79059541,45.35125196,-9.2974931,-2.251513587,1,0.38499999,,,0
1,2,1970,57,1,92,41,AL,-35.79059541,25.56639612,0,0,0,-0.1426,0,Republican incumbent,,3,62316,,101563,1,56,58,0,0,1,0,0,1,0.6183725,5.177186509,35.82650353,55.6724283,23.88,41.47828221,-13.37332726,34.20735896,-21.15346491,8.370145083,1,0.382999986,,,
1,2,1972,58,0,93,41,AL,-13.37332726,41.47828221,0,,,-0.186666667,0,Republican incumbent,,4,80362,,146508,1,,,,,,,0,1,0.534498328,6.737770402,29.76451972,61.15124594,34.52,,,,,-5.918761457,1,,70.86206897,,
1,2,1974,59,1,94,41,AL,-32.2178483,33.89107585,0,0,0,-0.186666667,0,Republican incumbent,,5,54089,,81818,1,58,60,0,0,1,0,0,1,0.534498328,6.737770402,29.76451972,61.15124594,41.57,42.39528775,-15.2094245,41.47828221,-13.37332726,13.5724714,1,0.377999991,15.64596353,,-1
1,2,1976,60,1,95,41,AL,-15.2094245,42.39528775,0,0,0,-0.186666667,0,Republican incumbent,,6,90069,,156362,1,59,61,0,0,1,0,0,1,0.534498328,6.737770402,29.76451972,61.15124594,40.53,45.99916041,-8.001676202,33.89107585,-32.2178483,-5.621735424,1,0.375999987,70.47989624,,-1
1,2,1978,61,1,96,41,AL,-8.001676202,45.99916041,0,0,0,-0.186666667,0,Republican incumbent,,7,57924,,107265,1,60,62,0,0,1,0,0,1,0.534498328,6.737770402,29.76451972,61.15124594,45.33,36.68262362,-23.90640974,42.39528775,-15.2094245,-4.985865265,1,0.372999996,45.29988024,,-1
1,2,1980,62,1,97,41,AL,-23.90640974,36.68262362,0,0,0,-0.186666667,0,Republican incumbent,,8,104796,,172962,1,61,63,0,0,1,0,0,1,0.534498328,6.737770402,29.76451972,61.15124594,78.18,49.58049357,-0.838967815,45.99916041,-8.001676202,-6.661364101,1,0.370999992,16.78047944,7.013428992,-1
1,2,1982,63,0,98,41,AL,-0.838967815,49.58049357,0,,,-0.264,0,Republican incumbent,0,9,83290,81904,165203,1,,,,,,,0,1,1.166322417,8.446692933,30.74621705,65.01451306,11,,,,,8.000854683,1,,33.18476288,32.36565528,-1
1,2,1984,64,1,99,41,AL,-21.77922726,38.55986595,0,0,0,-0.264,0,Republican incumbent,,10,118153,,195815,1,63,65,0,0,1,0,0,1,1.166322417,8.446692933,30.74621705,65.01451306,23.88,33.30132365,-33.3973527,49.58049357,-0.838967815,-5.306613884,1,0.367000014,15.57073041,8.251313439,-1
1,2,1986,65,1,100,41,AL,-33.3973527,33.30132365,0,0,0,-0.264,0,Republican incumbent,,11,115302,,172870,1,64,66,0,0,1,0,0,1,1.166322417,8.446692933,30.74621705,65.01451306,34.52,0,-94.24545765,38.55986595,-21.77922726,4.555182653,1,0.363999993,3.918691552,0,-1
1,2,1988,66,1,101,41,AL,-94.24545765,0,0,0,0,-0.264,0,Republican incumbent,,12,120408,,127861,1,65,67,0,0,1,0,0,1,1.166322417,8.446692933,30.74621705,65.01451306,41.57,48.71088266,-2.578234673,33.30132365,-33.3973527,-1.545145837,0,0.361999989,,,-1
1,2,1990,67,1,102,41,AL,-2.578234673,48.71088266,0,0,0,-0.264,0,Republican incumbent,,13,87649,,170911,0,66,68,0,0,1,0,0,1,1.166322417,8.446692933,30.74621705,65.01451306,40.53,47.92304933,-1.565217972,0,-94.24545765,-2.671862634,0,0.360000014,21.54112636,29.59901625,-1
1,2,1992,68,0,103,41,AL,-1.565217972,47.92304933,0,,,-0.2276,1,Republican open seat,,0,112906,,,1,,,,,,,1,0,1.243063532,8.589525695,24.13552944,35.00016459,45.33,,,,,-2.283510717,0,,38.56031759,86.14775953,0
1,2,1994,69,1,104,41,AL,-47.15740681,26.4212966,0,0,0,-0.2276,0,Republican incumbent,,1,124465,,,1,68,70,0,0,1,0,0,1,1.243063532,8.589525695,24.13552944,35.00016459,78.18,35.46792269,-27.79800892,47.92304933,-1.565217972,-12.75936914,1,0.43599999,9.19433349,1.568812017,-1
1,2,1996,70,1,105,41,AL,-27.79800892,35.46792269,0,0,0,-0.2276,0,Republican incumbent,,2,132563,,,1,69,71,0,0,1,0,0,1,1.243063532,8.589525695,24.13552944,35.00016459,11,30.66827059,-38.66345882,26.4212966,-47.15740681,7.017245117,0,0.451000005,14.82292112,25.15078948,-1
1,2,1998,71,1,106,41,AL,-38.66345882,30.66827059,0,0,0,-0.2276,0,Republican incumbent,,3,131428,,,0,70,72,0,0,1,0,0,1,,,,,23.88,,-40.08,35.46792269,-27.79800892,-2.242183656,0,0.465999991,3.754439887,2.953733968,-1
1,2,2000,72,1,107,41,AL,-40.08,,0,0,0,-0.2276,0,Republican incumbent,,4,,,,0,71,73,0,0,1,0,0,1,,,,,34.52,,-39.92,30.66827059,-38.66345882,4.633695519,1,0.481000006,,0,-1
1,2,2002,73,0,108,41,AL,-39.92,,0,,,-0.2997,,NA,,5,,,,0,,,,,,,,,,,,,41.57,,,,,-6.694096897,1,,,,-1
1,2,2004,74,1,109,41,AL,-43.02,,0,0,0,-0.2997,,NA,,6,,,,1,73,75,0,0,,,,,,,,,40.53,,-39.08,,-39.92,2.314101968,0,0.50999999,0.068098875,,-1
1,2,2006,75,1,110,41,AL,-39.08,,0,0,1,-0.2997,,NA,,7,,,,1,74,76,0,0,,,,,,,,,45.33,,0.62,,-43.02,13.68268531,0,0.524999976,1.576562486,0.683606972,-1
1,2,2008,76,0,111,41,AL,0.62,,1,0,,-0.2997,,NA,0,0,144368,142578,287394,0,75,,0,0,,,,,,,,,78.18,,,,-39.08,1.765615325,0,0.540000021,32.79917247,41.50655799,-1
1,3,1932,77,0,73,41,AL,,,,,,,,NA,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
1,3,1934,78,0,74,41,AL,,,,,,,,NA,,,,,,,77,79,,,,,,,,,,,23.88,,,,,,,-0.338999987,,,
1,3,1936,79,0,75,41,AL,,,,,,,,NA,,,,,,,78,80,,,,,,,,,,,34.52,,,,,,,-0.305999994,,,
1,3,1938,80,0,76,41,AL,,,,,,,,NA,,,,,,,79,81,,,,,,,,,,,41.57,,,,,,,-0.273000002,,,
1,3,1940,81,0,77,41,AL,,,,,1,,,NA,,,,,,,80,82,,,,,,,,,,,40.53,,,,,,,-0.238999993,,,
1,3,1942,82,0,78,41,AL,,,1,,1,0.833247822,,NA,14,,5043,,5043,1,81,83,,,,,,,0.000329124,0.535484487,45.80383561,22.9577043,45.33,,,,,,1,-0.206,,,
1,3,1944,83,0,79,41,AL,,,1,1,1,0.833247822,,NA,1,,20470,,20470,1,82,84,,,,,,,0.000329124,0.535484487,45.80383561,22.9577043,78.18,100,100,,,-2.479144594,1,-0.172999993,,,
1,3,1946,84,1,80,41,AL,100,100,1,1,1,0.833247822,0,Democratic incumbent,2,,13397,,13397,1,83,85,,0,,0,1,0,0.000329124,0.535484487,45.80383561,22.9577043,11,100,100,,,1.188312995,1,-0.017999999,,,
1,3,1948,85,1,81,41,AL,100,100,1,1,1,0.833247822,0,Democratic incumbent,3,,16279,,16279,1,84,86,1,0,0,0,1,0,0.000329124,0.535484487,45.80383561,22.9577043,23.88,100,100,100,100,10.24988897,1,-0.004,,,
1,3,1950,86,1,82,41,AL,100,100,1,1,1,0.833247822,0,Democratic incumbent,4,,10914,,10914,1,85,87,1,0,0,0,1,0,0.000329124,0.535484487,45.80383561,22.9577043,34.52,100,100,100,100,-0.020519355,1,0.011,,,
1,3,1952,87,1,83,41,AL,100,100,1,1,1,0.3706,0,Democratic incumbent,5,,29321,,29321,1,86,88,1,0,0,0,1,0,0.168979568,3.227740318,42.68529285,34.92046761,41.57,99.99552965,99.9910593,100,100,-6.808760953,1,0.025,,,
1,3,1954,88,1,84,41,AL,99.9910593,99.99552965,1,1,1,0.3706,0,Democratic incumbent,6,,22371,,22372,1,87,89,1,0,0,0,1,0,0.168979568,3.227740318,42.68529285,34.92046761,40.53,100,100,100,100,8.778685501,1,0.039999999,,,
1,3,1956,89,1,85,41,AL,100,100,1,1,1,0.3706,0,Democratic incumbent,7,,29547,,29547,1,88,90,1,0,0,0,1,0,0.168979568,3.227740318,42.68529285,34.92046761,45.33,100,100,99.99552965,99.9910593,-5.650539331,1,0.054000001,,,
1,3,1958,90,1,86,41,AL,100,100,1,1,1,0.3706,0,Democratic incumbent,8,,17389,,17389,1,89,91,1,0,0,0,1,0,0.168979568,3.227740318,42.68529285,34.92046761,78.18,100,100,100,100,13.50993815,1,0.068999998,,,
1,3,1960,91,0,87,41,AL,100,100,1,1,,0.3706,0,Democratic incumbent,9,,33881,,33883,1,90,,1,0,0,0,1,0,0.168979568,3.227740318,42.68529285,34.92046761,11,,,100,100,-6.19429047,1,0.082999997,,,
1,3,1964,92,0,89,41,AL,100,100,1,,,-0.0519,0,Democratic incumbent,11,,27939,,27939,1,,,,,,,1,0,0.333522677,4.358724484,38.02419082,46.41046219,23.88,,,,,6.331477858,1,,,,1
1,3,1966,93,1,90,41,AL,100,100,1,1,1,-0.0519,0,Democratic incumbent,12,,61015,,61018,1,92,94,1,0,0,0,1,0,0.333522677,4.384780943,38.02419082,46.41046219,34.52,90.8002913,82.39878416,100,100,-10.61381827,1,0.126000002,,,1
1,3,1968,94,1,91,41,AL,82.39878416,90.8002913,1,1,1,-0.0519,0,Democratic incumbent,13,,86796,,95590,1,93,95,1,0,0,0,1,0,0.333522677,4.384780943,38.02419082,46.41046219,41.57,89.13204074,78.26408148,100,100,-2.251513587,1,0.141000003,,,1
1,3,1970,95,1,92,41,AL,78.26408148,89.13204074,1,1,1,-0.0519,0,Democratic incumbent,14,,70015,,78552,1,94,96,1,0,0,0,1,0,0.333522677,4.384780943,38.02419082,46.41046219,40.53,75.57238936,54.98591065,90.8002913,82.39878416,8.370145083,1,0.155000001,,,
1,3,1972,96,0,93,41,AL,54.98591065,75.57238936,1,,,-0.084533333,0,Democratic incumbent,3,,100045,,132383,1,,,,,,,1,0,0.357180483,6.391768033,31.25440651,48.74125789,45.33,,,,,-5.918761457,1,,83.89046089,,
1,3,1974,97,1,94,41,AL,91.76770449,95.88309526,1,1,1,-0.084533333,0,Democratic incumbent,4,,63582,,66312,1,96,98,1,0,0,0,1,0,0.357180483,6.391768033,31.25440651,48.74125789,78.18,98.97173643,97.94347286,75.57238936,54.98591065,13.5724714,1,0.013,,,1
1,3,1976,98,1,95,41,AL,97.94347286,98.97173643,1,1,1,-0.084533333,0,Democratic incumbent,5,,106935,,108048,1,97,99,1,0,0,0,1,0,0.357180483,6.391768033,31.25440651,48.74125789,11,100,100,95.88309526,91.76770449,-5.621735424,1,0.007,,,1
1,3,1978,99,1,96,41,AL,100,100,1,1,1,-0.084533333,0,Democratic incumbent,6,,74895,,74897,1,98,100,1,0,0,0,1,0,0.357180483,6.391768033,31.25440651,48.74125789,23.88,100,100,98.97173643,97.94347286,-4.985865265,1,0.002,,,1
1,3,1980,100,1,97,41,AL,100,100,1,1,1,-0.084533333,0,Democratic incumbent,7,,107654,,107654,1,99,101,1,0,0,0,1,0,0.357180483,6.391768033,31.25440651,48.74125789,34.52,96.25896811,92.51793623,100,100,-6.661364101,1,-0.003,,,1
1,3,1982,101,0,98,41,AL,92.51793623,96.25896811,1,,,-0.2283,0,Democratic incumbent,8,,100864,,104784,1,,,,,,,1,0,0.925950936,8.147719967,28.19972592,54.49262679,41.57,,,,,8.000854683,1,,,,1
1,3,1984,102,1,99,41,AL,92.41418839,96.20709419,1,1,1,-0.2283,0,Democratic incumbent,9,,120357,,125102,1,101,103,1,0,0,0,1,0,0.925950936,8.147719967,28.19972592,54.49262679,40.53,80.56698442,61.13396883,96.25896811,92.51793623,-5.306613884,1,-0.013,,,1
1,3,1986,103,1,100,41,AL,61.13396883,80.56698442,1,1,1,-0.2283,0,Democratic incumbent,10,,115127,,142896,1,102,104,1,0,0,0,1,0,0.925950936,8.147719967,28.19972592,54.49262679,45.33,96.08117342,92.16234684,96.20709419,92.41418839,4.555182653,1,-0.018999999,78.33391198,94.74404733,1
1,3,1988,104,1,101,41,AL,92.16234684,96.08117342,1,1,1,-0.2283,0,Democratic incumbent,11,,117514,,122310,1,103,105,1,0,0,0,1,0,0.925950936,8.147719967,28.19972592,54.49262679,78.18,73.72902036,47.45804369,80.56698442,61.13396883,-1.545145837,0,-0.024,,,1
1,3,1990,105,1,102,41,AL,47.45804369,73.72902036,1,1,1,-0.2283,0,Democratic incumbent,1,,101923,,138242,0,104,106,1,0,0,0,1,0,0.925950936,8.147719967,28.19972592,54.49262679,11,60.32802463,22.96944857,96.08117342,92.16234684,-2.671862634,0,,88.47894397,96.55787945,1
1,3,1992,106,0,103,41,AL,22.96944857,60.32802463,1,,,-0.0916,0,Democratic incumbent,2,,119175,,,1,,,,,,,1,0,0.940192266,7.463490875,26.0216317,27.25188697,23.88,,,,,-2.283510717,0,,83.08061142,94.74940607,1
1,3,1994,107,1,104,41,AL,27.1984905,63.59924674,1,1,0,-0.0916,0,Democratic incumbent,3,,93924,,,1,106,108,1,0,0,0,1,0,0.940192266,7.463490875,26.0216317,27.25188697,34.52,47.34712541,-3.091344237,60.32802463,22.96944857,-12.75936914,1,-0.166999996,80.64284609,80.15606781,1
1,3,1996,108,1,105,41,AL,-3.091344237,47.34712541,0,1,0,-0.0916,1,Democratic open seat,,0,98353,,,1,107,109,0,1,0,0,0,0,0.940192266,7.463490875,26.0216317,27.25188697,41.57,41.89721644,-16.20556414,63.59924674,27.1984905,7.017245117,0,-0.166999996,47.90781809,50.64479815,0
